"","code","year","eb_nmr_fil"
"135",8520,2003,9996.82208805841
"136",8549,2003,9996.36357926016
"137",8558,2003,9996.49576300126
"138",8560,2003,9996.59195387076
"139",8573,2003,9996.90672067911
"140",8606,2003,9996.6325441783
"141",8634,2003,9996.33880649073
"142",8638,2003,9996.84424416758
"143",8675,2003,9996.89807380785
"144",8685,2003,9996.47854918005
"145",8758,2003,9996.31255222293
"146",8770,2003,9996.66064264301
"147",8832,2003,9996.18194650551
"148",8849,2003,9996.29942135814
"149",11001,2003,9997.55314578253
"150",13001,2003,9996.84872824864
"151",13006,2003,9998.42032290523
"152",13030,2003,9998.13678601891
"153",13042,2003,9998.60506462738
"154",13052,2003,9995.39063459612
"155",13062,2003,9997.6601008849
"156",13074,2003,9999.07600513363
"157",13140,2003,9998.3854130251
"158",13160,2003,9997.95929308198
"159",13188,2003,9998.44830463728
"160",13212,2003,9998.20276371582
"161",13222,2003,9995.50227072426
"162",13244,2003,9993.31909498259
"163",13248,2003,9997.9182519812
"164",13268,2003,9998.5023246586
"165",13300,2003,9998.61579695255
"166",13430,2003,9997.80355955332
"167",13433,2003,9997.88488348936
"168",13440,2003,9998.66863897183
"169",13442,2003,9997.70336903769
"170",13458,2003,9997.78594789358
"171",13468,2003,9998.59523434323
"172",13473,2003,9998.48760449313
"173",13490,2003,9996.02802673371
"174",13549,2003,9998.46109315211
"175",13580,2003,9998.4980501376
"176",13600,2003,9999.16072127249
"177",13620,2003,9997.86585090671
"178",13647,2003,9997.09186628656
"179",13650,2003,9998.35837580443
"180",13654,2003,9993.13759496641
"181",13655,2003,9998.70564642829
"182",13657,2003,9996.54011190272
"183",13667,2003,9998.85579566851
"184",13670,2003,9998.76997036387
"185",13673,2003,9995.92985468371
"186",13683,2003,9992.43123734948
"187",13688,2003,9997.04490778901
