"","code.sh","year","errad_aerea","lag.ataqinst_ELN","lag.H_coca","lag.errad_manual","H_Coca_mayor3","lag.DF_gast_inv","errad_manual","lag.lotes_coca","lotes_coca","lag.g_terreno","eb_mr","imr","lag.gini","Litr","lag.eb_pir"
"1349",17616,2001,0,0,0,0,0,67.8057688277195,0,0,0,0.730366667111715,NA,NA,NA,NA,NA
"1350",17616,2004,0,0,0,0.388888888888889,0,72.7729520588331,0,0,0,0.730831669436561,13.2057040870198,21.9,0.434733331203461,86.5975,NA
"1351",17616,2007,0,0,0,0,0,76.2311711810109,0,0,0,0.72121610906389,7.02618148059689,21.2533333333333,NA,NA,NA
"1352",17616,2010,0,NA,0,0,0,78.4411647393294,0,0,0,0.717910001675288,5.82947917449383,19.714,NA,NA,15.5909266189983
"1353",17653,2001,0,0,0.0416666666666667,1.79166666666667,0,73.3094682179991,0,0.0416666666666667,0,0.758714962864164,NA,NA,NA,NA,NA
"1354",17653,2004,0,0,5.39875,23.9829166666667,0,79.5378455571858,1,3.79166666666667,0,0.752759642670365,8.58253106163284,16.38,0.447587493807077,90.38506,NA
"1355",17653,2007,0,0,8.83333333333333,5.32791666666667,0,84.013357584231,0.5,7.125,0,0.763922082881133,5.86001146284313,15.0666666666667,NA,NA,NA
"1356",17653,2010,0,NA,5.04166666666667,19.8429166666667,0,84.3029913175743,0,5.79166666666667,0,0.767875408132871,1.7210760389371,12.8833333333333,NA,NA,10.8233504622856
"1357",17662,2001,0,0,0,2.77777777777778,0,73.6450820058041,2.66666666666667,0,0,0.67815251198548,NA,NA,NA,NA,NA
"1358",17662,2004,409.636666666667,0,26.3633333333333,35.4661111111111,5.33333333333333,82.382542022395,182.823333333333,9.61111111111111,40.3333333333333,0.670194652394129,13.3577240725669,17.3099999999999,0.456366658210754,85.97152,NA
"1359",17662,2007,429.943333333333,0,18.2222222222222,44.2238888888889,14.3333333333333,85.004228924605,273.683333333333,14.2222222222222,131.333333333333,0.700011106001006,10.85867080145,16.27,NA,NA,NA
"1360",17662,2010,37.96,NA,15.6111111111111,26.6394444444444,0.333333333333333,85.4802268544654,41.7866666666667,12.5,48.3333333333333,0.699162214994431,2.67801024803945,14.8833333333334,NA,NA,6.3224447253192
"1361",17665,2001,0,0,0,0,0,71.60357212339,0,0,0,0.729458894994524,NA,NA,NA,NA,NA
"1362",17665,2004,0,0,0,0,0,79.5854423407361,2.33333333333333,0,0,0.727661106321547,7.70453472888645,23.2,0.448599994182587,79.91978,NA
"1363",17665,2007,0,0,0,0,0,80.2444614059893,0,0,0,0.703156669934591,6.17685280081726,21.8066666666667,NA,NA,NA
"1364",17665,2010,0,NA,0,0,0,81.3145917865541,0,0,0,0.701763325267368,4.21327443896007,19.9533333333333,NA,NA,12.9256171632002
"1365",17777,2001,0,0,0,0,0,74.9282957889048,0,11.6666666666667,0,0.787978973955204,NA,NA,NA,NA,NA
"1366",17777,2004,0,0,0,0.8,0,82.2676331493336,0,0,0,0.805685993035634,9.50787490192367,23.54,0.454519993066788,91.28899,NA
"1367",17777,2007,0,0,0,0.186666666666667,0,85.0953280364521,0,0,0,0.801152002811432,4.90622385134035,22.13,NA,NA,NA
"1368",17777,2010,0,NA,0,0,0,82.2181425544684,0,0,0,0.793307995796204,3.49098076722294,20.2466666666667,NA,NA,10.7753359776108
"1369",17867,2001,0,0,0,0.444444444444444,0,66.1106813807402,0,0,0,0.675372216436598,NA,NA,NA,NA,NA
"1370",17867,2004,16.9,0,32.4944444444444,30.9872222222222,0,75.7300023716137,0.333333333333333,13.2777777777778,1,0.684805548853344,4.97179630599021,17.16,0.449533328413963,84.81992,NA
"1371",17867,2007,13.0266666666667,0,36.3888888888889,64.5011111111111,4,83.7888353548382,10.11,26.7222222222222,1.66666666666667,0.687133330437872,6.40794805782328,17.16,NA,NA,NA
"1372",17867,2010,0,NA,13.4444444444444,27.3733333333333,0,86.1789555981664,1.66666666666667,10.5555555555556,0,0.685290551847882,3.39820798322035,16.588,NA,NA,7.49389990152137
"1373",17873,2001,0,0.037037037037037,0,0,0,69.4357837984181,0,0,0,0.740692222559894,NA,NA,NA,NA,NA
"1374",17873,2004,0,0.037037037037037,0,0.214814814814815,0,74.6913886196917,0,0,0,0.749300005259337,4.62476933904994,14.91,0.435066666867998,92.55735,NA
"1375",17873,2007,0,0,0,0,0,78.5122672761956,0,0,0,0.757688520131288,3.47053531779663,14.1966666666667,NA,NA,NA
